10-digit PSGC,Name,2020 Population,Status,region_code,province_code
102800000.0,Ilocos Norte,609588,,10,102
102900000.0,Ilocos Sur,706009,,10,102
103300000.0,La Union,822352,,10,103
105500000.0,Pangasinan,3163190,,10,105
200900000.0,Batanes,18831,,20,200
201500000.0,Cagayan,1268603,,20,201
203100000.0,Isabela,1697050,,20,203
205000000.0,Nueva Vizcaya,497432,,20,205
205700000.0,Quirino,203828,,20,205
300800000.0,Bataan,853373,,30,300
301400000.0,Bulacan,3708890,,30,301
304900000.0,Nueva Ecija,2310134,,30,304
305400000.0,Pampanga,"(excluding CITY OF ANGELES) 2,437,709",,30,305
306900000.0,Tarlac,1503456,,30,306
307100000.0,Zambales,"(excluding CITY OF OLONGAPO) 649,615",,30,307
307700000.0,Aurora,235750,,30,307
401000000.0,Batangas,2908494,,40,401
402100000.0,Cavite,4344829,,40,402
403400000.0,Laguna,3382193,,40,403
405600000.0,Quezon,"(excluding CITY OF LUCENA) 1,950,459",,40,405
405800000.0,Rizal,3330143,,40,405
1704000000.0,Marinduque,239207,,17,170
1705100000.0,Occidental Mindoro,525354,,17,170
1705200000.0,Oriental Mindoro,908339,,17,170
1705300000.0,Palawan,"(excluding CITY OF PUERTO PRINCESA) 939,594",,17,170
1705900000.0,Romblon,308985,,17,170
500500000.0,Albay,1374768,,50,500
501600000.0,Camarines Norte,629699,,50,501
501700000.0,Camarines Sur,2068244,,50,501
502000000.0,Catanduanes,271879,,50,502
504100000.0,Masbate,908920,,50,504
506200000.0,Sorsogon,828655,,50,506
600400000.0,Aklan,615475,,60,600
600600000.0,Antique,612974,,60,600
601900000.0,Capiz,804952,,60,601
603000000.0,Iloilo,"(excluding ILOILO CITY) 2,051,899",,60,603
604500000.0,Negros Occidental,"(excluding CITY OF BACOLOD)  2,623,172",,60,604
607900000.0,Guimaras,187842,,60,607
701200000.0,Bohol,1394329,,70,701
702200000.0,Cebu,"(excluding the cities of CEBU, LAPU-LAPU, AND MANDAUE) 3,325,385",,70,702
704600000.0,Negros Oriental,1432990,,70,704
706100000.0,Siquijor,103395,,70,706
802600000.0,Eastern Samar,477168,,80,802
803700000.0,Leyte,"(excluding CITY OF TACLOBAN) 1,776,847",,80,803
804800000.0,Northern Samar,639186,,80,804
806000000.0,Samar,793183,,80,806
806400000.0,Southern Leyte,429573,,80,806
807800000.0,Biliran,179312,,80,807
907200000.0,Zamboanga del Norte,1047455,,90,907
907300000.0,Zamboanga del Sur,"(excluding  CITY OF ZAMBOANGA) 1,050,668",,90,907
908300000.0,Zamboanga Sibugay,669840,,90,908
1001300000.0,Bukidnon,1541308,,10,100
1001800000.0,Camiguin,92808,,10,100
1003500000.0,Lanao del Norte,"(excluding CITY OF ILIGAN) 722,902",,10,100
1004200000.0,Misamis Occidental,617333,,10,100
1004300000.0,Misamis Oriental,"(excluding CITY OF CAGAYAN DE ORO) 956,900",,10,100
1102300000.0,Davao del Norte,1125057,,11,110
1102400000.0,Davao del Sur,"(excluding CITY OF DAVAO) 680,481",,11,110
1102500000.0,Davao Oriental,576343,,11,110
1108200000.0,Davao de Oro,767547,,11,110
1108600000.0,Davao Occidental,317159,,11,110
1204700000.0,Cotabato,1490618,,12,120
1206300000.0,South Cotabato,"(excluding CITY OF GENERAL SANTOS) 975,476",,12,120
1206500000.0,Sultan Kudarat,854052,,12,120
1208000000.0,Sarangani,558946,,12,120
1400100000.0,Abra,250985,,14,140
1401100000.0,Benguet,"(excluding BAGUIO CITY) 460,683",,14,140
1402700000.0,Ifugao,207498,,14,140
1403200000.0,Kalinga,229570,,14,140
1404400000.0,Mountain Province,158200,,14,140
1408100000.0,Apayao,124366,,14,140
1600200000.0,Agusan del Norte,"(excluding CITY OF BUTUAN) 387,503",,16,160
1600300000.0,Agusan del Sur,739367,,16,160
1606700000.0,Surigao del Norte,534636,,16,160
1606800000.0,Surigao del Sur,642255,,16,160
1608500000.0,Dinagat Islands,128117,,16,160
1900700000.0,Basilan,"(excluding CITY OF ISABELA) 426,207",,19,190
1903600000.0,Lanao del Sur,1195518,,19,190
1906600000.0,Sulu,1000108,,19,190
1907000000.0,Tawi-Tawi,440276,,19,190
1908700000.0,Maguindanao del Norte,"(excluding COTOBATO CITY) 618,421",,19,190
1908800000.0,Maguindanao del Sur,723758,,19,190
