10-digit PSGC,Name,2020 Population,Status,region_code,province_code,municipality_code
1380601000.0,Tondo I/II,654220,,13,138,13
1380602000.0,Binondo,20491,,13,138,13
1380603000.0,Quiapo,29846,,13,138,13
1380604000.0,San Nicolas,42957,,13,138,13
1380605000.0,Santa Cruz,126735,,13,138,13
1380606000.0,Sampaloc,388305,,13,138,13
1380607000.0,San Miguel,18599,,13,138,13
1380608000.0,Ermita,19189,,13,138,13
1380609000.0,Intramuros,6103,,13,138,13
1380610000.0,Malate,99257,,13,138,13
1380611000.0,Paco,79839,,13,138,13
1380612000.0,Pandacan,84769,,13,138,13
1380613000.0,Port Area,72605,,13,138,13
1380614000.0,Santa Ana,203598,,13,138,13
